sku,description,brand,upc,unit_weight,price,classification,notes,
AC-000984,AMERICAN CREW-DAILY CLEANSING SHAMPOO 250 ML/8.4 OZ (CO;- MADE IN USA),AMERICAN CREW,738678000984,0.5,15,HAIRCARE,,
AC-000984-D,AMERICAN CREW-DAILY CLEANSING SHAMPOO 250 ML/8.4 OZ (CO;- MADE IN USA),AMERICAN CREW,738678000984,,14,HAIRCARE,,
AC-001066,AMERICAN CREW-DAILY DEEP MOISTURIZING SHAMPOO 15.2 OZ/500 ML (CO:- MADE IN USA),AMERICAN CREW,738678001066,0.95,21,HAIRCARE,,
AC-001080,AMERICAN CREW-DAILY DEEP MOISTURIZING SHAMPOO 250 ML/8.4 OZ (CO:- MADE IN USA),AMERICAN CREW,738678001080,0.5,15,HAIRCARE,,
AC-001325,AMERICAN CREW-DAILY MOISTURISING CONDITIONER 250 ML/8.5 OZ,AMERICAN CREW,738678001325,0.5,15,HAIRCARE,,
AC-001349,AMERICAN CREW-DAILY CLEANSING SHAMPOO FOR MEN 250 ML/8.4 OZ,AMERICAN CREW,738678001349,0.5,15,HAIRCARE,,
AC-002674,AMERICAN CREW-DEFINING PASTE 3 OZ / 3 GR (12 EA/CS) (CO:- MADE IN USA),AMERICAN CREW,738678002674,,21,HAIRCARE,,
AC-002698,AMERICAN CREW-CLASSIC FIBER 3 OZ/85 GR (CO:- MADE IN USA),AMERICAN CREW,738678002698,,21,HAIRCARE,,
AC-002742,AMERICAN CREW-HEAVY HOLD POMADE 3.OZ/85G (12 EA/CS) (CO:-MADE IN USA),AMERICAN CREW,738678002742,,21,HAIRCARE,,
AC-002742-D,AMERICAN CREW-HEAVY HOLD POMADE 3.OZ/85G (12 EA/CS) (CO:-MADE IN USA),AMERICAN CREW,738678002742,,21,HAIRCARE,,
AC-058220,"AMERICAN CREW-3-IN-1 SHAMPOO,CONDITIONER AND BODY WASH 250 ML/8.45 OZ",AMERICAN CREW,669316058220,0.52,14,HAIRCARE,,
AC-060506,AMERICAN CREW-CLASSIC FIRM HOLD STYLING GEL 250ML/8.4OZ (12 EA/CS) (CO:- MADE IN USA),AMERICAN CREW,669316060506,0.35,17.5,HAIRCARE,,
AC-061923,AMERICAN CREW-NEW SUPERGLUE 100ML  (12 EA/CS),AMERICAN CREW,669316061923,0.28,13.5,HAIRCARE,,
AC-068953,AMERICAN CREW-DAILY MOISTURIZING SHAMPOO  33.8OZ/1L (12 EA/CS),AMERICAN CREW,669316068953,2.55,27,HAIRCARE,,
AC-068960,AMERICAN CREW-DAILY MOISTURIZING SHAMPOO 250ML (12 EA/CS),AMERICAN CREW,669316068960,0.63,14,HAIRCARE,,
AC-068960-D,AMERICAN CREW-DAILY MOISTURIZING SHAMPOO 250ML/8.4OZ  (12 EA/CS),AMERICAN CREW,669316068960,9.9999,14,HAIRCARE,,
AC-068977,AMERICAN CREW-DAILY MOISTURIZING SHAMPOO 15.2 OZ/450 ML,AMERICAN CREW,669316068977,0.95,18.5,HAIRCARE,,
AC-069066,AMERICAN CREW-POWER CLEANSER STYLER REMOVER SHAMPOO 250ML (12 EA/CS),AMERICAN CREW,669316069066,1,12.26,HAIRCARE,,
AC-076026,AMERICAN CREW-FIRM HOLD STYLING GEL 13.1OZ/390ML (12 EA/CS) (CO:- MADE IN USA),AMERICAN CREW,669316076026,0.95,25,HAIRCARE,,
AC-076026-D,AMERICAN CREW-FIRM HOLD STYLING GEL 13.1OZ/390ML (12 EA/CS) (CO:- MADE IN USA),AMERICAN CREW,669316076026,0.85,23,HAIRCARE,,
AC-076033,AMERICAN CREW-FIRM HOLD STYLING GEL 3.3OZ/100ML (12 EA/CS),AMERICAN CREW,669316076033,0.29,11,HAIRCARE,,
AC-076040,AMERICAN CREW-LIGHT HOLD STYLING GEL 13.1OZ/390ML (12 EA/CS) (CO:- MADE IN USA),AMERICAN CREW,669316076040,0.95,25,HAIRCARE,,
AC-076057,AMERICAN CREW-LIGHT HOLD STYLING GEL 250ML/8.4OZ (12 EA/CS) (CO:- MADE IN USA),AMERICAN CREW,669316076057,0.63,17.5,HAIRCARE,,
AC-076057-D,AMERICAN CREW-LIGHT HOLD STYLING GEL 250ML/8.4OZ (12 EA/CS) (CO:- MADE IN USA),AMERICAN CREW,669316076057,,16,SKINCARE,,
AC-078860,AMERICAN CREW-24 HOUR DEODORANT BODY WASH 15.2OZ/450ML (12 EA/CS),AMERICAN CREW,669316078860,1.15,14.5,SKINCARE,,
AC-078877,AMERICAN CREW-ANTI-DANDRUFF 8.4OZ/250ML (12 EA/CS),AMERICAN CREW,669316078877,0.63,14,HAIRCARE,,
AC-078891,AMERICAN CREW-DAILY CONDITIONER 1LITER/33.8 OZ (12 EA/CS),AMERICAN CREW,669316078891,2.55,27,HAIRCARE,,
AC-078907,AMERICAN CREW-DAILY CONDITIONER 250ML/ 8.4 OZ (12 EA/CS),AMERICAN CREW,669316078907,0.63,14,HAIRCARE,,
AC-080733,AMERICAN CREW-GROOMING SPRAY 8.4 OZ/250 ML,AMERICAN CREW,669316080733,9.9999,16.5,HAIRCARE,,
AC-092095,AMERICAN CREW-DAILY MOISTURIZING SHAMPOO 250 ML/8.4 OZ  (12 EA/CS),AMERICAN CREW,669316092095,0.63,14,HAIRCARE,,
AC-092095-D,AMERICAN CREW-DAILY SHAMPOO 250ML/8.4OZ,AMERICAN CREW,669316092095,0.626,14,HAIRCARE,,
AC-092101,AMERICAN CREW-DAILY SHAMPOO 1LITER/33.8 OZ ( 12 EA/CS),AMERICAN CREW,669316092101,1,27,HAIRCARE,,
